query	etalon	label
инвалидам какой группы работодатель должен предоставлять очередной отпуск 30 дней?	право инвалида на отпуск 30 дней	0
Можно отпуск считать по полугодиям, а не от даты приема?	код можно брать отпуск с дата прием работа	0
отпуск и больничный лист исключаются из расчета средней заработной платы?	больничный лист в отпуске без сохранения заработной платы	0
Здравствуйте! Если количество дней отпуска 34,6 полается то считам 35 дней?	количество дней отпуска в 2022	0
ООО один учередитель в лице генерального директора. Как оформить отпуск документально?	генеральный директор отпуск оформлять	0
Здраствуйте. Срок предоставления документов на отпуск по уходу до 1,5 лет?	документы необходимые для предоставления отпуска по уходу за ребенком до 1,5 лет	0
Здравствуйте! Какие резервы может создавать муниципальное унитарное предприятие? (резервы отпусков например)	мочь мсп не создавать резерв оплата отпуск	0
Войдут ли дни больничного в расчет компенсации за не использованный отпуск?	входит ли отпуск за свой счет в расчет больничного	0
если сотруднику предоставили отпуск авансом а он не отработал что делать?	предоставлять отпуск сотрудник аванс	0
может ли генеральный директор и главный бухгалтер одновременно уйти в отпуск	отпуск директора и педагога одновременно	0
Здравствуйте! сотрудник в отпуске заболел. что делать с отпуском и отпускными?	сотрудник получать отпускной заболевать начало отпуск	0
доброе! Сотрудник принят на работу 29.01.24 - взхял отпуск с 26	отпуск с 01 ноября	0
Добрый день. Директор уходит в отпуск. Как передать полномочия заместителю директора?	директор уходит в отпуск приказ	0
Какая продолжительность отпуска несовершеннолетнего 14 лет, работающего в районах крайнего севера?	продолжительность отпуск внешний совместитель район крайний север	0
в какие организации нужно отчитаться, если работник уходит в декретный отпуск	замена работника ушедшего в декретный отпуск	0
Добрый день, подскажите какие документы оформить при вызове из отпуска сотрудника?	как оформить административный отпуск сотрудника	0
добрый день, может ли сотрудник находясь в отпуске выйти на подработку	сотрудник отпуск выходить работа	0
добрый день. у сотрудника ребенок инвалид, сколько дней отпуска положено сотруднику дополнительно	сотруднику инвалиду сколько положено дней к отпуску	0
Добрый день! Сотрудник работает вахтовым методом. Вопрос: положен ли отпуск и сколько?	положен ли отпуск кочегарам	0
На чье имя пишет директор заявление об отпуске или о переносе отпуска	заявление на отпуск без сохранения зп директора на имя учредителя	0
Добрый день. можно ли неиспользованный отпуск получить денежное вознаграждение не при увольнении?	денежная компенсация неиспользованных дней отпуска	0
Расчет компенсации за отпуск при увольнении , не работает этот сервис снова	расчет компенсации при увольнении после административного отпуска	0
Добрый день, можно ли начислить отпускные если больничный лист еще не закрыт?	нужно ли сейчас закрывать больничный лист	0
Сотрудник в отпуске, з.платы за месяц нет- можно ли платить ему премию?	произошло повышение з/платы в части премии расчет отпускных	0
Можно ли выплатить премию за прошлый период сотруднице, что ушла в декретный отпуск?	пересчет отпусков из-за премии за прошлый период	0
сколько дней сотрудник в год должен отгулять отпуска во избежание штрафов для компании	сколько обязан сотрудник отгулять отпуск	0
Добрый день! Сотрудник находится в очередном отпуске и решил уволиться, что делать бухгалтеру?	находясь в отпуске за свой счет сотрудник решил уволиться	0
Можно ли выплатить отпускные заранее, тк. бухгалтер в единственном лице уходит в отпуск?	отпускной выплачивать вместе с заработный плата заранее	0
если сотрудница была в неоплачиваемом отпуске, пособие по беременности и родам не начислится?	пособия по беременности и родам 2024	0
Добрый день. Может ли сотрудник написать заявление на отпуск, но при этом работать.	сотрудник написать заявление отпуск день	0
Добрый день Подскажите, пожалуйста, может ли гл бух замещать директора во время отпуска?	приказ о назначении замещающего генерального директора на время отпуска	0
здравствуйте. Как отразить расходы на проезд в отпуск не для районов крайнего севера	оплата проезд отпуск совместитель район крайний север 2024 год	0
"работник работает на 1,5 ставки внутреннее совмещение.

как выплачивать материальную помощь к отпуску ?"	давать временно совмещение работник он работать 1 5 ставка	0
Если человек пришел и ушел с работы, не проработав месяца, как ему рассчитываются отпускные	отпуск сотрудник мочь уходить месяц и не делить он	0
Здравствуйте! Вопрос: можем ли мы оплачивать сотрудникам проезд к месту проведения отпуска и обратно?	компенсация проезд сотрудник место работа и обратно налогообложение	0
Добрый день! нужен образец заявления на отпуск по уходу за ДВОЙНЕЙ до 1,5 лет.	пособие уход 1 5 год двойня	0
Добрый день, можно ли выплатить компенсацию за не отгуленый трудовой отпуск сразу за 4 года?	компенсация за не использованные дни отпуска	0
Добрый день! Может ли директор организации, находящийся в неоплачиваемом отпуске подать заявление в службу занятости?	организация должный подавать служба занятость	0
Добрый день. Соискателю, заключившему ученический договор с организацией. Можно предоставить отпуск без сохранения заработной платы?	ученические договора в каких организациях можно заключать	0
если директор генеральный идет в отпуск, кто должен выписывать ему приказ о выходе в отпуск?	отпуск генеральный директор приказ передача право	0
Добрый день. Подскажите, какой датой должен быть составлен приказ на отпуск по беременности и родам?	приказ о беременности и родам составлять?	0
Добрый день, списываются ли за счет начисленного резерва: компенсация отпуска при увольнении, дополнительный отпуск сотрудникам?	компенсация при увольнении сотрудника в отпуске за свой счет	0
Повлияет ли увеличение окладов в месяце увольнения при расчете компенсации за неиспользованный отпуск при увольнении?	налогообложение компенсации за неиспользованный отпуск при увольнении	0
чем грозит компании если сотрудник отгулял все дни отпуска и берет частями менее 14 дней	можно ли брать отпуск частями	0
размер максимальных взносов за ип за себя ва 2024 г	максимальный размер уплата страховой взнос ипать 1 2023	0
учетный отпуск входит ли в стаж	входит ли административный отпуск для расчета стажа	0
можно организации самой создать методику расчета оценочного обязательства по отпускам	оценочное обязательство отпуск пбу	0
может ли ИП вид деятельности автомойка применять патент и не пользоваться ККТ	ип патент автомойка 45 20	0
компенсация расходов по РФ взамен суточных налогообложение, и как это зафиксировать в ЛНА	размер и налогообложение суточный	0
удалить историю поиска	удалять электронный подпись	0
