query1	query2	score	old_scores	new_scores
доверенность на подписание трудовой договор	можно ли ставить на доверенность выдавать лицо для подписание	0.0	0.025609347969293594	-0.025120211765170097
в какой срок и куда платить курортный сбор санаторий	кассовый чек с курортный сбор в краснодарский край	0.0	-0.006985081359744072	-0.0012768283486366272
отчет 2 ндфл инструкция	отчет 3 ндфл	0.0	0.48055505752563477	0.5439046621322632
очередность платеж зарплата	очередность платеж в банк	1.0	0.9785920977592468	0.9497541785240173
возврат товар поставщик реализация	возврат товар замена брак	0.0	-0.05453721061348915	-0.0488547757267952
доверенность от индивидуальный предприниматель на получение тмц без печать иметь ли сила	как зарегистрировать печать индивидуальный предприниматель	0.0	0.03284425660967827	-0.020355364307761192
оплачивать отпуск разрешать в течение 2 день после его начало	срок выплата отпускной менять не быть	1.0	0.862668514251709	0.7830624580383301
процент по депозит ндфл	сервис расчет процент по заем	0.0	-0.10279720276594162	-0.019423995167016983
заявление на возврат взнос	подавать заявление на взнос чтобы снижать на они налог по усна за 1 квартал	0.0	0.01889808662235737	0.07844884693622589
как оформлять отмена доверенность в ооо	как учредитель выходить из ооо	0.0	0.046756356954574585	0.056553471833467484
краткосрочный трудовой договор	отсутствие трудовой договор	0.0	-0.011957252398133278	-0.0063059162348508835
отчет о смп фактический расторжение	отчет по смп показатель 2	0.0	-0.010911846533417702	-0.004061514977365732
договор на приобретение товар при импорт из казахстан	реализация товар нерезидент казахстан ндс	0.0	0.013357866555452347	0.021158259361982346
увольнение по сокращение инвалид	увольнение по сокращение по п 2 ч 1 ст 81 тк	0.0	0.03829753398895264	0.09428830444812775
бюджет по лимит excel	электронный согласование бюджет	0.0	-0.009140469133853912	0.002392653375864029
вопрос надо ли возвращать ндфл иностранный работник работать по патент и подавать уточнять расчет 6 ндфл при представление в текущий год заявление с приложение подтверждать плата за	задавать вопрос эксперт письменно	0.0	0.04098890721797943	0.05458465963602066
порядок заполнение 1 тр в статистика	статистический форма 1 лицензия порядок заполнение	0.0	-0.0016593411564826965	-0.00163947232067585
на что влиять ключевой ставка рефинансирование центробанк	ставка рефинансирование за прошлый период	0.0	-0.012901464477181435	-0.02199767343699932
отсутствие компенсация медосмотр при прием на работа тк рф	при прием на работа студент рф	0.0	0.004175106529146433	0.01210781279951334
бухгалтерский справка на выплата промежуточный дивиденд	промежуточный бухгалтерский отчетность при ликвидация	0.0	0.018241560086607933	-0.017039095982909203
уведомление о сокращение штат	увольнение по сокращение штат пропорционально	0.0	0.0010402724146842957	0.015636764466762543
ос уже принимать к учет как учитывать транспортный расход по он	что относиться к транспортный расход	0.0	-0.013339280150830746	0.0003546224907040596
с 2021 сообщать с ифнс о приобретение транспортный средство	транспортный расход учет с 2021 налоговый учет	0.0	0.8716129660606384	0.7612501382827759
аренда жилье по фсба 25 2018	нко применение фсба 25 2018	0.0	-0.04128342866897583	-0.037095777690410614
как оприходовать ремонт машина в лизинг	как оприходовать товар по неотфактурованный поставка и ндс	0.0	-0.03100995346903801	-0.05261962115764618
тест новый публикатор	лимит касса новый предприятие	0.0	-0.013358362019062042	-0.04198770970106125
как увольнять сотрудник находиться в отпуск за свой счет	отпуск на праздничный день за свой счет	0.0	0.0141995158046484	0.009953314438462257
изменение штатный расписание в связь с индексация	штатный расписание с районный коэффициент	0.0	-0.014229261316359043	-0.016338562592864037
вычет сотрудник опекун код	код вычет на ребенок 2019	0.0	-0.003759033977985382	0.02036426216363907
за сколько день нужно составлять график отпуск	сколько час нужно отрабатывать чтобы получать молоко за вредность	0.0	0.019791800528764725	0.09859329462051392
метод экономический планирование	список метод составление бюджет	1.0	0.1321014016866684	0.22171321511268616
перечисление водный налог 2022	расчет водный налог артезианский скважина	0.0	-0.08193118125200272	-0.06870923936367035
нужно писать учетный политика ипать на усна	учетный политика торговля усна	0.0	-0.12147237360477448	-0.06696900725364685
вид путевой лист	нужно ли освидетельствование в путевой лист 2023	0.0	-0.041327103972435	-0.023127861320972443
по шаг переход упрощенный учет проводка на 25 фсба на учет лизингополучатель	ретроспективный переход по фсба 25 2018 проводка	0.0	0.012647425755858421	0.038560472428798676
воинский учет 2023 штраф новый	отчетность по воинский учет и бронирование	0.0	0.1038476824760437	0.1842195689678192
как заполнять форма 1 лицензия статистика пример заполнение	как заполнять форма мх 1	0.0	-0.004602099768817425	-0.015546096488833427
отчет рсв 2022	перенос срок отчет в 2022	0.0	0.0030442699790000916	0.00030614808201789856
нужный ли экспедиторский расписка при железнодорожный перевозка груз	являться ли экспедиторский расписка основание отгрузка товар покупатель если в наш накладная отсутствовать подпись на получение груз	0.0	-0.01178865134716034	-0.019176986068487167
чек лист для запас	чек лист по учет запас по фсба 5 2019 с 2021 год	1.0	0.9607834815979004	0.9413210153579712
справка 2 ндфл для сотрудник порядок заполнение	торг 2 порядок заполнение	0.0	0.02934868074953556	0.02129528485238552
первичный инструктаж по пожарный безопасность по новое 2022	программа первичный инструктаж на рабочий место по пожарный безопасность в организация	0.0	0.0039140451699495316	-0.00899946317076683
договор купля продажа земельный участок и нежилой здание	регистрация договор купля продажа земельный участок	0.0	0.009877782315015793	-0.03346223011612892
исчисление срок исковой давность	подписание акт сверка прерывать срок исковой давность	0.0	0.021368490532040596	0.01606038026511669
договор в письменный форма	форма запрос регистрация коллективный договор	0.0	-0.006057325284928083	0.017130166292190552
командировочный расход в 2019 год суточный рсв	ндс по командировочный расход в 2023 год	0.0	0.13168928027153015	0.06021614372730255
документ отец ипать пособие при рождение	пособие на рождение ипать через соцзащита	1.0	0.9463084936141968	0.9450189471244812
грузоперевозка москва патент ипать на 2023	патент транспортный услуга грузоперевозка	1.0	0.42113494873046875	0.5040010213851929
корпоративный сей карта	положение об использование корпоративный карта	0.0	0.003746405243873596	0.016547709703445435
остаток по счет 19 ндс по лизинг при переход на усна куда списывать ос на баланс лизингополучатель	приобретение автомобиль по лизинг и принятие он на баланс	0.0	0.3027474880218506	0.10549452900886536
что такой дистрибьюторский договор	что такой ошибка в учет	0.0	0.04042983055114746	0.07699817419052124
в период испытательный срок можно переводить на другой должность	перевод на другой должность беременный сотрудница	0.0	0.03687725216150284	-0.018270546570420265
внутренний регламент	учебный отпуск внутренний совместитель как оформлять	0.0	-0.07765699177980423	-0.07759164273738861
доверенность в суд на ознакомление с материал дело	доверенность от ипать на ведение дело в общий юрисдикция	0.0	-0.024975771084427834	-0.013562550768256187
бухгалтерский и налоговый учет курсовой разница	момент начисление курсовой разница	0.0	0.14280307292938232	0.14876122772693634
положение о бухгалтерия	уничтожение документ в бухгалтерия	0.0	0.017061661928892136	0.16150762140750885
бухучет в днр	бухучет ниокрый	0.0	-0.06051797419786453	-0.06856832653284073
вознаграждение за труд в вид подарок код для ндфл	код вид доход при компенсация за молоко	0.0	-0.028381120413541794	-0.0026413099840283394
расчет больничный после декрет	расчет компенсация за неиспользованный отпуск после отпуск по уход	0.0	-0.019065609201788902	-0.010146111249923706
о расторжение договор аренда	о расторжение договор аренда и возмещение убыток не передавать	0.0	-0.006397337652742863	-0.013331853784620762
платежный поручение в банк на перечисление зарплата образец 2023 год	статус составитель в платежный поручение в 2023	0.0	0.0858764797449112	0.18213775753974915
форма анкета при прием	форма приказ о прием со сдельный оплата труд	0.0	0.0011915434151887894	-0.0022375895641744137
транспортный налог 2022 с юридический лицо бухгалтерский проводка	транспортный налог для юридический лицо на электромобиль в москва	0.0	0.01394219882786274	0.013951648958027363
нужный ли справка подтверждение для оплата учебный отпуск	удерживать ли профсоюзный взнос с учебный отпуск	0.0	-0.042323701083660126	-0.04164035618305206
график отпуск срок составление на 2023 год	отличие план график на 2021 год от план график на 2022 год	0.0	-0.028841037303209305	-0.054833173751831055
кворум для одобрение крупный сделка	ооо одобрение крупный сделка	0.0	-0.00395866297185421	0.06452982872724533
алгоритм работник работник на шестидневный рабочий неделя	сколько часы при шестидневный рабочий неделя	0.0	-0.010972635820508003	0.005216967314481735
какой код вид доход в платежка для материальный помощь	код вычет при материальный помощь работник в связь с мобилизация в справка 2 ндфл	0.0	0.0890643298625946	0.1223074346780777
книга покупка форма	унифицировать форма госкомстат	0.0	-0.07100850343704224	-0.08507663011550903
как отражать в сзв тд отпуск с последующий увольнение	расчет при отпуск с последующий увольнение	0.0	-0.04459626227617264	-0.03773929923772812
как начислять страховой взнос с 01 01 2023 г на зарплата временно пребывать иностранный гражданин вьетнам работать по трудовой договор в рамка международный договор соглашение между	уведомление по взнос с 01 01 2023	0.0	-0.0439089797437191	-0.034289270639419556
рентабельность компания	рентабельность точка продажа	1.0	0.4232930839061737	0.37847059965133667
взаимосвязь между запас и затрата в бухгалтерский отчетность	как исправлять ошибка в бухгалтерский отчетность	0.0	0.6563749313354492	0.7186098098754883
положение об оплата труд индексация	положение об оплата труд премия аль	0.0	0.5881150364875793	0.6957122683525085
ограничение прожиточный минимум удержание по исполнительный лист с 01 02 2022 год федеральный закон 234 фз от 29 06 2021	удержание по исполнительный лист с выплата к юбилей	0.0	-0.04270898923277855	-0.037550028413534164
528066	форма 4 лс инструкция по заполнение	0.0	-0.09028191864490509	-0.13526251912117004
образец протокол собрание о приобретение автомобиль	решение о приобретение автомобиль	1.0	0.9811533689498901	0.9854925870895386
при расчет ндфл с дивиденд применять стандартный вычет на ребенок	стандартный вычет по ндфл на ребенок если платить алименты	0.0	0.039149217307567596	0.19071215391159058
мораторий на банкротство зачет требование	мораторий на возбуждение дело о банкротство с 1 апрель	1.0	0.0012477906420826912	-0.06136145442724228
надо ли сдавать консолидировать отчетность в налоговый	нужно ли сдавать пояснение к бухгалтерский отчетность	0.0	0.07644897699356079	-0.005391156300902367
отпуск без сохранение заработный плата максимальный период	отпуск без сохранение заработный плата работать пенсионер тк рф	0.0	0.004259683191776276	0.027323154732584953
доверенность на покупка автомобиль обязательно ли заверять нотариально	доверенность на приобретение транспортный средство	1.0	0.4667678773403168	0.19653305411338806
договор о материальный ответственность водитель за автомобиль	договор покупка автомобиль	0.0	-0.0417151004076004	-0.0013011638075113297
компенсация за задержка зарплата работник облагаться ли ндфл	облагаться ли ндфл спонсорский помощь физлица	0.0	0.010140601545572281	0.015008938498795033
договор хранение зерно	хранение зерно на собственный склад	0.0	0.049858465790748596	0.028719887137413025
изменение в отчетность за 9 месяц 2022	сзв тд за 9 месяц	0.0	0.5215234160423279	0.22234173119068146
с 1 апрель цифровой рубль	цифровой рубль закон с 1 апрель 2023	1.0	0.9809655547142029	0.9791635870933533
может ли ставка дисконтирование быть отрицательный по фсба 25	отрицательный ставка дисконтирование по договор аренда лизинг	1.0	0.980810284614563	0.970296323299408
заявление на выдача справка стд р	стд р увольнение совместитель	0.0	0.01631576009094715	0.04635334759950638
кбк в уведомление по енп земельный и транспортный налог	сальдо енп и енс	0.0	0.0812351256608963	0.07935965806245804
конструктор приказ по изменение учетный политика	образец приказ об изменение учетный политика на 2022 год	0.0	-0.01971614919602871	0.03186773508787155
как рассчитать ндфл при выплата зарплата и дивиденд резидент по прогрессивный шкала	сколько раз удерживать алименты при выплата отпускной и зарплата	0.0	0.039537154138088226	0.052733562886714935
до какой возраст выдаваться новогодний подарок ребенок	новогодний подарок ребенок сотрудник ндс	0.0	0.1112590879201889	0.20355220139026642
день бухгалтер 21 ноябрь	книга покупка с 01 07 21	0.0	0.1968110203742981	0.14056435227394104
как увольнять сотрудник если он находиться еще на больничный	какой день увольнять после больничный	1.0	0.8323979377746582	0.7658120393753052
включать ли в рсв ребенок инвалид по уход за инвалид	удлинять отпуск 56 к д за ребенок инвалид	0.0	-0.036214157938957214	0.007247693836688995
548070	классификация капитальный вложение	0.0	0.09892807900905609	0.06592276692390442
образец платежный поручение по налог с 2023 без уведомление	платежный поручение по налог на имущество юла налог	0.0	0.055769503116607666	0.4525643587112427
нужно ли заявление на выдача в подотчет	памятка выдача в подотчет на командировка	0.0	0.0030188634991645813	0.023042188957333565
вернуть заем учредитель автомашина	возврат краткосрочный заем учредитель	1.0	0.9888638854026794	0.9900527596473694
информационный письмо налоговый	письмо изменение юрадрес	0.0	-0.0391257181763649	-0.047737546265125275
запрос котировка после односторонний отказ от контракт	как размещать в система контракт по запрос котировка в электронный форма	0.0	-0.031101588159799576	-0.024728108197450638
какой дата писаться заявление и приказ при прием на работа	приказ о прием дата за день до начало работа	0.0	0.8881597518920898	0.8518109321594238
доплата за праздничный день в февраль за какой день полагать	за работа в выходной и праздничный день работник с повременный оплата труд устанавливаться доплата	0.0	0.017419511452317238	0.09044705331325531
отпуск по уход за ребенок до 1 5 год в 2021 за двойня образец заявление	отпуск по уход за ребенок до 1 5 год увольнение при банкротство	0.0	0.027257777750492096	0.05261175334453583
код вычет на второй ребенок инвалид	размер вычет по ндфл на ребенок инвалид	0.0	0.15727800130844116	0.14923831820487976
в какой система формироваться план график закупка по 44 фз федеральный заказчик	какой информация указываться в план график в случай проведение централизованный закупка по 44 фз	0.0	0.09208188951015472	0.239201158285141
как увольнять работник находиться на больничный по сокращение штат	оплата ср зарплата увольнять по сокращение	0.0	-0.014217489399015903	0.004778187721967697
вычет если третий ребенок умирать	вычет на ребенок умирать муж	0.0	0.9824402332305908	0.9442974328994751
как распределять авансовый платеж по налог на прибыль между головной и обособленный подразделение в 2022 год как проводить проверка бухгалтерский отчетность и шипилова материал из бсс	обособленный подразделение база для распределение налог на прибыль	1.0	0.28355541825294495	0.30432313680648804
индивидуальный предприниматель без сотрудник пробивать чек	образец приказ без печать деятельность индивидуальный предприниматель	0.0	0.04020141437649727	0.030252031981945038
акциз нулевой надо декларация	декларация по ндс нулевой сдаваться или нет	0.0	-0.054185934364795685	-0.07485451549291611
518741	форма справка 2 ндфл 2021	0.0	0.019388576969504356	0.03567221388220787
инструкция по за полнение форма 57 т	статистика 57 т расшифровка	1.0	0.9830041527748108	0.9795058369636536
как расторгать договор аренда неоднозначный формулировка	расторжение договор аренда шум	1.0	0.14315153658390045	0.02612561732530594
метод планирование	метод списание материал в производство	0.0	-0.013838052749633789	-0.0018911957740783691
включать в налогооблагаемый база обеспечительный платеж при усна доход	обеспечительный платеж по доогвора аренда облагаться усна 6	1.0	0.37259477376937866	0.5637848377227783
как подтверждать допы расход на доставка материал	как подтверждать расход на проезд в метро карта тройка	0.0	0.3224092423915863	0.2976047992706299
запись об электронный трудовой книжка	сотрудник при прием выбирать электронный трудовой книжка	0.0	0.09902184456586838	0.3146038055419922
прощение долг на усна	прощение долг один должник влечь исключение этот требование из реестр другой	0.0	-0.05323157459497452	-0.04099730774760246
сколько день мочь оплачивать работодатель учебный отпуск	учебный отпуск без сохранение средний заработок	1.0	0.976590633392334	0.9707781672477722
включать ли в рсв ребенок инвалид по уход за инвалид	количество дополнительный день по уход за ребенок инвалид	0.0	-0.1635717749595642	-0.12864860892295837
исковой давность на оказание услуга	оказание стоматологический услуга патент	0.0	0.030093958601355553	0.029240533709526062
ставка налог на прибыль по обособленный подразделение	уведомление об исчислять налог и взнос для обособленный подразделение	0.0	0.13577789068222046	0.14927640557289124
почему выручка в декларация ндс много чем в прибыль	разница доход от реализация по декларация ндс и прибыль	1.0	0.9429651498794556	0.923001766204834
штраф за егаисалкоголь	штраф за нарушение заработный плата	0.0	0.019546495750546455	-0.005046349950134754
корректировочный сф для прослеживать товар	корректировочный счет фактура прослеживать товар в книга покупка	1.0	0.9499363899230957	0.8997652530670166
срок введение режим неполный рабочий время	табель рабочий время	0.0	-0.023040059953927994	-0.051012758165597916
как оплачивать командировка за 1 день	как оплачивать мобилизация	0.0	0.008962799794971943	0.03626500815153122
если банкротство компания кредитор обязанный вставать в очередь	текущий ндфл по банкротство очередность	1.0	0.7058885097503662	0.7853697538375854
доверенность от ипать представитель для участие в качество защитник по дело об административный	заявление в фсс о регистрация ипать в качество работодатель	0.0	0.01671876199543476	0.03715042024850845
акт на бухгалтерский услуга образец	договор услуга акт	0.0	-0.03165508806705475	-0.01243804581463337
как в 6 ндфл отражать сумма компенсация необлагаемый налог	как отражать в уведомление сумма страховой взнос общий сумма или по каждый вид страхование	0.0	-0.06232303008437157	-0.11950935423374176
резерв на утилизация шина по фсба 5	фсба 5 2019 запас расход по доставка	0.0	0.018540889024734497	0.0070541854947805405
ведение кассовый операция индивидуальный предприниматель	индивидуальный предприниматель сдавать склад в аренда налог на имущество	0.0	-0.0576300285756588	-0.06915181130170822
в проект контракт указывать неверный кбк	как указывать в подпись контракт должность уполномоченный лицо	0.0	-0.037163347005844116	-0.04567393660545349
расход на брендбук налог на прибыль	расход на вентиляция в арендовать помещение налог на прибыль	0.0	-0.010229417122900486	-0.06299357116222382
декларация по ндс при ликвидация кто сдавать	как сдавать нулевой декларация по ндс индивидуальный предприниматель	0.0	-0.034457042813301086	-0.04224838316440582
доплата за питание в трудовой договор	служебный записка доплата за совмещение	0.0	-0.05958687514066696	-0.04527715593576431
как заполнять декларация по прибыль за 9 месяц	строка 290 декларация по налог на прибыль за 9 мес	0.0	-0.012189378030598164	-0.01682012341916561
ликвидационный баланс и отчет о финансовый результат	отчет о финансовый результат процент по лизинг фсба 25	0.0	0.06868922710418701	0.07038836181163788
вычет на ребенок одинокий родитель	документ для вычет по ндфл на ребенок одинокий	0.0	0.5311074256896973	0.1387573629617691
бух проводка участие в электронный торги	затрата на участие в электронный торги	0.0	0.009130752645432949	0.009858297184109688
в счет фактура неверно указывать юридический адрес покупатель мочь ли налоговый отказывать в принятие ндс к вычет	как указывать в счет фактура сведение о покупатель и грузополучатель если продукция отгружать по местонахождение обособленный подразделение организация покупатель как указывать в счет фактура	0.0	-0.03525720536708832	-0.004517062101513147
применение электронный транспортный накладная с 2022 год	ттн вместо транспортный накладная	0.0	0.06276234984397888	0.04129796475172043
возврат товар для гарантийный ремонт	учет гарантийный резерв на ремонт в бухучет	0.0	0.0655096024274826	0.12173189222812653
6 ндфл за 2 квартал 2023 г	6 ндфл за 2023 г кто не сдавать	0.0	-0.03074970282614231	-0.028120381757616997
бухгалтерский баланс некоммерческий организация	компания на упрощенка не вести деятельность в течение год нужно ли сдавать бухгалтерский баланс	1.0	0.9754133224487305	0.9589842557907104
дополнительный реквизит возвратный чека тег1192	замена бумажный кассовый чека электронный	0.0	0.05834900215268135	0.06373769044876099
вид ошибка в отчетность	как исправлять ошибка прошлый год в отчетность	1.0	0.9800812005996704	0.9772485494613647
новый правило по охрана труд	срок пересмотр инструкция по охрана труд	0.0	-0.009075647220015526	-0.005563570652157068
зарплата на рука не менее мрот ндфл	какой доплата не входить в мрот	0.0	0.8333375453948975	0.7939635515213013
как отражать страховой взнос в книга по усна доход минус расход	как учитывать взнос ипать при усна с объект доход минус расход	0.0	0.022036608308553696	-0.00021763890981674194
страховой взнос как получать скидка	я посмотреть вебинар как получать сертификат	0.0	0.005316965281963348	0.01791776902973652
выдача трудовой книжка бух учет	обязанность вести учет трудовой книжка	1.0	0.1774042248725891	0.055668026208877563
514235	договор подряд ипать	0.0	0.1019391193985939	0.06383278220891953
бухгалтерский учет ниокрый	ниокрый отгрузка без ндс	0.0	0.029056046158075333	0.03903057426214218
как прописывать в трудовой договор оплата труд с премия	трудовой договор с условие	0.0	0.06665103882551193	0.2784026861190796
нужно ли включать контракт прошлый год в отчет смп и соно	чек по авансовый отчет прошлый год	0.0	0.10383021831512451	0.08377175033092499
взыскание договорный неустойка	судебный приказ о взыскание неустойка по договор	0.0	0.13947522640228271	0.29074326157569885
форма инва 11 акт инвентаризация расход будущий период	форма ф 11 краткий	0.0	-0.09852194786071777	-0.07971204072237015
перенос срок оплата налог 1 с превышение 300000	срок оплата налог с дивиденд	0.0	-0.015387887135148048	0.007012281566858292
от что защищать телеграмма на увольнение	что отличаться электронный подпись налоговый от эцп	0.0	-0.013486351817846298	-0.027365010231733322
дата увольнение поздно дата смерть	работник написать заявление на увольнение и отправлять по почта письмо приходить поздно дата увольнение	0.0	-0.039137162268161774	-0.04633200168609619
срок уплата налог на профессиональный доход	срок уплата налог и взнос в 2023	0.0	0.046358946710824966	0.09844164550304413
